fish_id	month	origin	length	mass	body_depth	kidney_depth	KB_ratio	qPCR_ddCt	qPCR_sqrt	haematocrit	leukocrit	lymphocyte_count	monocyte_count	granulocyte_count	thrombocyte_count	lymphocyte_concentration_sqrt	monocyte_concentration_sqrt	granulocyte_concentration_sqrt	thrombocyte_concentration_sqrt	SMR_1	SMR_2	SMR_3	MMR_1	MMR_2	MMR_3	SMR_mean	MMR_mean	AS	SMR_std	MMR_std	AS_std	UTT_trial	UTT_temperature	UTT_rank	UTT_degree_sec	UTT_degree_sec_centered
17	july	mustoja	55	1.75	5.39	1.02	0.189239332096475	0.0788473183	0.280797646535722	0.2835051546	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.76005447845827e-07	1.76191228909011e-07	1.80009581015829e-07	7.81930082824023e-07	7.59875644590526e-07	7.71237021862328e-07	1.77402085923556e-07	7.71014249758959e-07	5.93612163835403e-07	9.82687067467268e-08	4.13837229052199e-07	3.14988489239342e-07	NA	NA	NA	NA	NA
18	july	vainupea	57.5	2.07	5.88	0.67	0.113945578231293	1.1857319381	1.08891319125998	0.0371747212	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.6067496662622e-07	1.5987366391941e-07	1.53848107300488e-07	6.96375285677062e-07	6.21953499421497e-07	5.29028494330416e-07	1.58132245948706e-07	6.15785759809658e-07	4.57653513860952e-07	7.58529036481066e-08	2.9326592908811e-07	2.17387671171921e-07	NA	NA	NA	NA	NA
19	july	vainupea	48.5	1.25	4.69	0.66	0.140724946695096	1.9497540295	1.3963359300326	0.1229508197	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.29190692658711e-07	1.11078649915782e-07	1.06186462865721e-07	4.74377210474905e-07	4.91572120023036e-07	4.3459290995178e-07	1.15485268480071e-07	4.6684741348324e-07	3.51362145003169e-07	8.53529190386683e-08	3.18419806887876e-07	2.32759893327627e-07	NA	NA	NA	NA	NA
20	july	vainupea	56.5	1.75	4.47	0.53	0.118568232662192	0.0001001274	0.0100063679724463	0.2701530612	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.31428287855948e-07	2.20805279143394e-07	2.39705704973665e-07	6.9705391144056e-07	7.28130619860491e-07	7.41831104217664e-07	2.30646423991002e-07	7.22338545172905e-07	4.91692121181903e-07	1.27762453769116e-07	3.87710839411083e-07	2.60906645546635e-07	NA	NA	NA	NA	NA
21	july	vainupea	47	1.25	4.97	0.89	0.17907444668008	0.494425451	0.703153931227011	0.1101928375	NA	NA	NA	NA	NA	NA	NA	NA	NA	1.57723092593039e-07	1.57917845240105e-07	1.65271824957549e-07	4.3796446084357e-07	4.28861273435735e-07	4.05260417193202e-07	1.60304254263564e-07	4.24028717157502e-07	2.63724462893938e-07	1.18477760980165e-07	2.89214716270572e-07	1.74704300745105e-07	NA	NA	NA	NA	NA
22	july	mustoja	53	1.75	5.62	0.96	0.170818505338078	0.1146285706	0.338568413470601	0.2441503868	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.29946497619168e-07	2.1982080117354e-07	2.14842288521954e-07	5.46682741666711e-07	5.27635726828689e-07	4.79229421065314e-07	2.21536529104887e-07	5.17849296520238e-07	2.96312767415351e-07	1.22716190731133e-07	2.77952473648268e-07	1.57232477089822e-07	NA	NA	NA	NA	NA
23	july	mustoja	73	4	7.4	1.27	0.171621621621622	0.2603681071	0.510262782397462	0.3555917376	NA	NA	NA	NA	NA	NA	NA	NA	NA	4.79786973685037e-07	4.53830292567572e-07	4.91837561635968e-07	1.56391710739644e-06	1.51806101833397e-06	1.54243208664689e-06	4.75151609296192e-07	1.54147007079243e-06	1.06631846149624e-06	1.29597972935859e-07	4.59242694038513e-07	3.28041501197733e-07	NA	NA	NA	NA	NA
24	july	mustoja	59.5	2.15	5.6	0.87	0.155357142857143	0.2122190365	0.46067237436165	0.351943386	NA	NA	NA	NA	NA	NA	NA	NA	NA	2.71394626172941e-07	2.8820469524566e-07	2.8375223798515e-07	7.22242843076479e-07	8.30396801203688e-07	8.54283564961845e-07	2.81117186467917e-07	8.02307736414004e-07	5.21190549946087e-07	1.30534585655554e-07	3.7191696000875e-07	2.4145436671265e-07	NA	NA	NA	NA	NA
25	july	mustoja	67	3.2	5.46	0.81	0.148351648351648	7.6798285277	2.77125035456922	0.3128282645	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.97084664484065e-07	3.6182423484993e-07	4.05954865038407e-07	1.08998913734703e-06	9.79004874631191e-07	1.17558697046804e-06	3.88287921457467e-07	1.08152699414875e-06	6.93239072691286e-07	1.28225416192415e-07	3.77706335319444e-07	2.47075860243904e-07	NA	NA	NA	NA	NA
26	july	mustoja	60	2.05	5.56	0.9	0.161870503597122	0.267595457	0.517296295173279	0.2487093903	NA	NA	NA	NA	NA	NA	NA	NA	NA	3.23030803890106e-07	3.23340441967241e-07	3.15156279799265e-07	7.98661066969444e-07	8.44526746221122e-07	8.70783185792735e-07	3.20509175218871e-07	8.37990332994434e-07	5.17481157775563e-07	1.55026473159453e-07	4.01858854393127e-07	2.47384866446381e-07	NA	NA	NA	NA	NA
